id,aligned,n_revisions,human_explanation,llm_explanation,human_n_explanation,llm_n_explanation,human_n_statements,llm_n_statements,human_statement_char_length,human_statement_token_length,llm_statement_char_length,llm_statement_token_length,human_explanation_char_length,human_explanation_token_length,llm_explanation_char_length,llm_explanation_token_length,human_explanation_avg_char_length,human_explanation_avg_token_length,llm_explanation_avg_char_length,llm_explanation_avg_token_length,source,errant_error_type
wiki_test_323,"These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} .",5,"- This term should not be capitalized because it is not a proper noun.
- This wording is unnatural and is replaced by ""a number of.""
- This edit is incorrect.
- This edit is incorrect.
- This edit changes the spelling to the American English convention.","- ""International airport"" is a common noun and should not be capitalized.
- ""Numbers"" was corrected to ""a number"" as it is singular.
- ""Aircraft"" was changed to ""aircrafts"" to match the plural subject.
- ""Has"" was corrected to ""have"" to match the plural subject.
- ""Programme"" was changed to ""program"" to match the American English spelling standard.",explanation_1,explanation_2,5,5,"[68, 59, 23, 23, 66]","[14, 14, 5, 5, 11]","[71, 56, 66, 58, 85]","[14, 15, 15, 15, 17]",239,49,336,76,47.8,9.8,67.2,15.2,wiki,"['R:ORTH', 'M:DET', 'R:NOUN:NUM', 'R:NOUN:NUM', 'M:PUNCT', 'R:OTHER', 'R:MORPH']"
wiki_dev_299,"He is the only child {to=>} his late parents {=>,} Gordon and Helen {=>,} had together , although they already had six adult children between them .",3,"- Unnecessary word ""to"" removed.
- Commas are usually put around names in sentences like this.","- ""To"" is incorrect because it implies that the child belongs to the parents, whereas the intended meaning is that the parents had the child together.
- Commas were added to set off the appositive phrase ""Gordon and Helen.""",explanation_2,explanation_1,2,2,"[30, 59]","[7, 11]","[148, 70]","[29, 15]",89,18,218,44,44.5,9.0,109.0,22.0,wiki,"['U:PREP', 'M:PUNCT', 'M:PUNCT']"
wiki_dev_120,"If any developer of an application that could be used by a Californian does n't display a privacy policy statement when their application is installed they are breaking California law {=>,} and could be fined $ 2,500 for every download .",1,"- Added a comma, which is necessary before a conjunction joining two independent clauses.",- A comma was added to join two independent clauses.,explanation_2,explanation_1,1,1,[87],[15],[50],[10],87,15,50,10,87.0,15.0,50.0,10.0,wiki,['M:PUNCT']
wiki_test_790,"In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and {honoured=>honored} as part of the {in [=>} 100 .",2,"- ""Honoured"" is replaced with ""honored"" to follow American English standards.
- The preposition and bracket are deleted to improve fluency and grammar.","- ""Honoured"" is changed to ""honored"" to match American English spelling.
- ""in ["" is removed as it is likely a typographical error and does not make sense in the context of the sentence.",explanation_2,explanation_1,2,2,"[75, 71]","[15, 12]","[70, 111]","[15, 25]",146,27,181,40,73.0,13.5,90.5,20.0,wiki,"['R:VERB', 'U:OTHER']"
fce_test_269,"Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time .",7,"- This potentially meaning-changing edit makes the verb present tense.
- This edit changes the spelling of 'program' to the American English convention.
- This edit changes the semicolon to the correct colon because what follows is an independent clause that directly expands on what the first independent clause introduces.
- This stylistic edit deletes a parenthetical that is implied by later text.
- A comma is added here because two independent clauses are being joined with a coordinating conjunction.
- This edit adds a subject and modal verb to make this clause an independent clause.
- This stylistic edit reinforces the difference between the plan options.","- ""Proposed"" was changed to ""propose"" to match the present tense of the rest of the sentence.
- ""Programme"" was changed to ""program"" to use the American spelling.
- The semicolon was changed to a colon to introduce the list of changes that follow.
- ""Instead of shopping"" was removed and replaced with ""we could go to this show"" to simplify the sentence and improve clarity.
- The second ""we could"" was removed to avoid repetition and improve flow.
- ""During our free time"" was moved to the end of the sentence to match the meaning of the original sentence and to clarify that shopping would be done on Wednesday afternoon instead of during free time.",explanation_1,explanation_2,7,6,"[68, 79, 169, 74, 103, 82, 71]","[12, 15, 27, 13, 17, 16, 11]","[91, 66, 82, 124, 71, 200]","[21, 15, 16, 26, 15, 39]",646,111,634,132,92.28571428571428,15.857142857142858,105.66666666666669,22.0,fce,"['R:VERB:TENSE', 'R:MORPH', 'R:PUNCT', 'U:OTHER', 'M:PUNCT', 'U:OTHER', 'R:OTHER']"
wiki_dev_482,""" To top this , "" low economic status can exacerbate all these factors , placing impoverished {'=>} children at particular risk for cognitive impairment later in life .",1,- The single quotation was removed as it is unnecessary.,"- The apostrophe was removed from ""impoverished"" because it was being used as an adjective, not a possessive noun.
- The arrow was added to indicate that nothing was added, only punctuation was removed.",explanation_2,explanation_1,1,2,[54],[10],"[112, 85]","[22, 16]",54,10,197,38,54.0,10.0,98.5,19.0,wiki,['U:PUNCT']
fce_dev_309,"In my view , it was extremely interesting and {satisfing=>satisfying} for me all {the=>} concert long .",2,"- The spelling of ""satisfying"" was corrected.
- ""The"" was removed for fluency. ""All the concert long"" is not natural in American English.","- ""Satisfing"" was changed to ""satisfying"" to correct the spelling error.
- ""The"" was removed to make the phrase ""all concert long"" flow more smoothly.",explanation_1,explanation_2,2,2,"[43, 89]","[9, 21]","[70, 75]","[15, 18]",132,30,145,33,66.0,15.0,72.5,16.5,fce,"['R:SPELL', 'U:DET']"
wiki_dev_771,"It contained hit single {=>,} "" Uzi ( Pinky Ring ) "" {=>,} and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .",2,- The commas are inserted because titles should be surrounded by commas following a descriptive phrase.,"- Commas were added to separate the hit single from the rest of the sentence, and to separate the hit single from the list of guest appearances.",explanation_1,explanation_2,1,1,[101],[16],[142],[28],101,16,142,28,101.0,16.0,142.0,28.0,wiki,"['M:PUNCT', 'M:PUNCT']"
fce_dev_501,Most {student=>students} who were interviewed suggested {to have a=>filming the} speaking part of the lesson {to be on film=>} .,3,"- ""student"" was pluralized to match the number implied by ""were.""
- ""filming the"" was added to replace some phrasing to make the sentence more natural.","- ""Student"" was changed to ""students"" to correct subject-verb agreement.
- ""To have"" was changed to ""filming"" to simplify the sentence structure.
- ""To be on film"" was removed as it is redundant with ""filming.""",explanation_2,explanation_1,2,3,"[63, 83]","[15, 17]","[70, 70, 62]","[16, 16, 17]",146,32,202,49,73.0,16.0,67.33333333333333,16.333333333333332,fce,"['R:NOUN:NUM', 'R:VERB', 'R:OTHER', 'U:DET', 'U:OTHER']"
wiki_dev_238,"Personal {Collection.This=>Collection. This} is probably N1334U {=>,} taken at Orlando , Florida {=>,} in {april=>April} 1973 .",4,"- A space was added where it was missing after the introductory title, ""Personal Collection.""
- A comma was added before ""taken"" to separate the first independent clause from the following clarifications about the subject of the sentence.
- A comma was added after ""Florida."" When listing full locations and dates, commas are required to separate pieces of information for clarity.
- The name of the month ""April"" was capitalized.","- Added a space between ""Personal"" and ""Collection"" for clarity and readability.
- Commas were added before and after the location and date to separate them from the rest of the sentence.
- ""April"" was capitalized to adhere to standard capitalization rules for months.",explanation_2,explanation_1,4,3,"[91, 142, 140, 46]","[18, 25, 27, 11]","[78, 104, 78]","[16, 20, 14]",419,81,260,50,104.75,20.25,86.66666666666667,16.666666666666668,wiki,"['R:ORTH', 'M:PUNCT', 'M:PUNCT', 'R:ORTH']"
wiki_dev_788,"While AMT penetrates to only several hundred {metres=>meters} , AMT measurements take only about one hour to perform and use smaller and lighter magnetic sensors .",1,"- The word ""meters"" was spelled according to American English spelling guidelines.","- ""metres"" was changed to ""meters"" to use the American English spelling.",explanation_1,explanation_2,1,1,[80],[14],[70],[16],80,14,70,16,80.0,14.0,70.0,16.0,wiki,['R:MORPH']
fce_dev_766,I am very happy to have won first {prize=>place} in your competition .,1,"- ""place"" is a more likely the intended word due to the lack of an article.","- 'Place' is more commonly used when referring to winning in a competition, whereas 'prize' refers to the actual reward given.",explanation_2,explanation_1,1,1,[73],[18],[124],[26],73,18,124,26,73.0,18.0,124.0,26.0,fce,['R:NOUN']
wiki_dev_842,"The game was later released for PlayStation 2 on November 15 , 2001 , and a Sega Dreamcast port was planned {,=>} but cancelled as the machine 's popularity {waned=>diminished} .",2,"- The comma is removed after ""planned"" because the following phrase is not complete and dependent.","- The comma is removed to avoid a comma splice.
- The word 'waned' is replaced with 'diminished' to improve fluency.",explanation_2,explanation_1,1,2,[96],[18],"[45, 66]","[10, 15]",96,18,111,25,96.0,18.0,55.5,12.5,wiki,"['U:PUNCT', 'R:VERB']"
fce_test_113,I arrived {at=>in} Ireland on {2th=>} July {=>2nd} .,3,"- Replaced ""at"" with ""in,"" which is the correct preposition after ""arrive""
- Replaced ""2th"" with ""2nd,"" which is the correct form.
- ""2nd"" was moved after the month, following the North American English convention.","- ""At"" is changed to ""in"" because we use ""in"" for countries.
- ""2th"" is incorrect and was corrected to ""2nd.""
- The order of the day and month was switched to conform to American English standards.",explanation_2,explanation_1,3,3,"[72, 53, 81]","[18, 15, 16]","[58, 46, 85]","[18, 13, 16]",206,49,189,47,68.66666666666667,16.333333333333332,63.0,15.666666666666666,fce,"['R:PREP', 'U:ADJ', 'M:NOUN']"
fce_test_268,I was disappointed when I found {=>out} the actor was n't Danny Brook !,1,"- The word ""out"" was inserted after ""found"" because found out is the phrasal verb we use to indicate that someone discovered a fact or piece of information.","- The word ""out"" was added to make the sentence more clear and fluent.",explanation_1,explanation_2,1,1,[154],[32],[68],[16],154,32,68,16,154.0,32.0,68.0,16.0,fce,['M:PART']
