original,revised,aligned,id
As Modern technology is changing the world rapidly I think we are all involved in the revolution it 's causing .,"As modern technology is changing the world rapidly , I think we are all involved in the revolution it 's causing .","As {Modern=>modern} technology is changing the world rapidly {=>,} I think we are all involved in the revolution it 's causing .",fce_test_11
That made me so disappointed .,That disappointed me so much .,That {made=>disappointed} me so {disappointed=>much} .,fce_dev_570
"Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with too high charging voltages will generate oxygen and hydrogen gas , forming an extremely explosive mix .","Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with voltages that are too high will generate oxygen and hydrogen gas , forming an extremely explosive mix .","Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with {=>voltages that are} too high {charging voltages=>} will generate oxygen and hydrogen gas , forming an extremely explosive mix .",wiki_dev_677
"I immediately say "" yes "" and also my friend .",I immediately said yes and so did my friend .,"I immediately {say ""=>said} yes {""=>} and {also=>so did} my friend .",fce_test_576
It was almost twice as long as the modern saltwater crocodile and weighed up to 8 tonnes .,It was almost twice as long as the modern saltwater crocodile and weighed up to 8 tons .,It was almost twice as long as the modern saltwater crocodile and weighed up to 8 {tonnes=>tons} .,wiki_test_637
"Later , a new law was proposed in 1998 , specifing that a lawyer who was once a judge or a prosecutor must not serve as a lawyer within two years at criminal trials of a court of which he was a member directly before .","Later , a new law was proposed in 1998 , specifying that a lawyer who was once a judge or a prosecutor must not serve as a lawyer , within two years , at criminal trials of a court of which he was a member directly before .","Later , a new law was proposed in 1998 , {specifing=>specifying} that a lawyer who was once a judge or a prosecutor must not serve as a lawyer {=>,} within two years {=>,} at criminal trials of a court of which he was a member directly before .",wiki_test_627
Probably she 'll come with a friend if you want you can enjoy us .,"She 'll probably come with a friend ; if you want , you can join us .","{Probably she=>She} 'll {=>probably} come with a friend {=>;} if you want {=>,} you can {enjoy=>join} us .",fce_test_632
"However , it is still unclear whether he will dawn the mask upon his return or not .","However , it is still unclear whether he will don the mask upon his return or not .","However , it is still unclear whether he will {dawn=>don} the mask upon his return or not .",wiki_test_667
I WANT YOU TO GIVE ME A COMPLETE REFOUND .,I WANT YOU TO GIVE ME A COMPLETE REFUND .,I WANT YOU TO GIVE ME A COMPLETE {REFOUND=>REFUND} .,fce_dev_655
You certainly saw that plays and films had a lot of success .,You certainly saw that the plays and films had a lot of success .,You certainly saw that {=>the} plays and films had a lot of success .,fce_test_28
"Bradley has three sons : Kevin , Kyle , and Allyn !!","Bradley has three sons : Kevin , Kyle , and Allyn !","Bradley has three sons : Kevin , Kyle , and Allyn {!!=>!}",wiki_test_492
