_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,comments,describe_why_this_is_not_annotatable,not_annotatable,not_annotatable:confidence,please_explain_the_revisions_write_na_if_not_annotatable,aligned,id,original,revised
3471075662,finalized,1,6/22/2023 16:12:02,,,,1.0,-These optional style edits simplify the structure of the sentence.,That {made=>disappointed} me so {disappointed=>much} .,fce_dev_570,That made me so disappointed .,That disappointed me so much .
3471075663,finalized,1,6/22/2023 16:04:25,,,,1.0,-These two edits clarify the meaning of the sentence.,"Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with {=>voltages that are} too high {charging voltages=>} will generate oxygen and hydrogen gas , forming an extremely explosive mix .",wiki_dev_677,"Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with too high charging voltages will generate oxygen and hydrogen gas , forming an extremely explosive mix .","Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with voltages that are too high will generate oxygen and hydrogen gas , forming an extremely explosive mix ."
3471075666,finalized,1,6/22/2023 14:09:50,,,,1.0,"-The spelling of 'specifying' is corrected.
-This parenthetical is set off with commas.","Later , a new law was proposed in 1998 , {specifing=>specifying} that a lawyer who was once a judge or a prosecutor must not serve as a lawyer {=>,} within two years {=>,} at criminal trials of a court of which he was a member directly before .",wiki_test_627,"Later , a new law was proposed in 1998 , specifing that a lawyer who was once a judge or a prosecutor must not serve as a lawyer within two years at criminal trials of a court of which he was a member directly before .","Later , a new law was proposed in 1998 , specifying that a lawyer who was once a judge or a prosecutor must not serve as a lawyer , within two years , at criminal trials of a court of which he was a member directly before ."
3471075668,finalized,1,6/22/2023 16:18:56,,,,1.0,"-'Don,' meaning to wear, is the correct word here. 'Dawn' refers to the beginning of something, especially the day.","However , it is still unclear whether he will {dawn=>don} the mask upon his return or not .",wiki_test_667,"However , it is still unclear whether he will dawn the mask upon his return or not .","However , it is still unclear whether he will don the mask upon his return or not ."
3471075670,finalized,1,6/22/2023 13:23:15,,,,1.0,"-'The' is inserted here to make the following noun phrase, 'plays and films,' definite as opposed to indefinite, which makes more sense in the context of the sentence.",You certainly saw that {=>the} plays and films had a lot of success .,fce_test_28,You certainly saw that plays and films had a lot of success .,You certainly saw that the plays and films had a lot of success .
3471075671,finalized,1,6/23/2023 12:50:24,,,,1.0,"-Though sometimes more exclamation points are used for stylistic effect, using only one is considered grammatical.","Bradley has three sons : Kevin , Kyle , and Allyn {!!=>!}",wiki_test_492,"Bradley has three sons : Kevin , Kyle , and Allyn !!","Bradley has three sons : Kevin , Kyle , and Allyn !"
3471075672,finalized,1,6/23/2023 16:36:42,,,,1.0,"- An article is needed before ""season.""
- A comma was correctly added before a conjunction that conjoins two independent clauses.
- Two commas were added after phrases that provides more information. 
- Corrects a spelling error.
- Corrects a spelling error.","He started to shine in {=>the} 2003-04 season with Persepolis {=>,} where he was used as the defensive midfielder {=>,} and moved to Esteghlal Ahvaz {=>,} where he stayed for 4 seasons {=>,} and had excellent {season=>seasons} in 2007-08 {seasons=>,} where he played the most {minuted in the league than=>minutes of} any {other payer=>player} in the league .",wiki_dev_379,He started to shine in 2003-04 season with Persepolis where he was used as the defensive midfielder and moved to Esteghlal Ahvaz where he stayed for 4 seasons and had excellent season in 2007-08 seasons where he played the most minuted in the league than any other payer in the league .,"He started to shine in the 2003-04 season with Persepolis , where he was used as the defensive midfielder , and moved to Esteghlal Ahvaz , where he stayed for 4 seasons , and had excellent seasons in 2007-08 , where he played the most minutes of any player in the league ."
3471075673,finalized,1,6/22/2023 16:20:51,,,,1.0,"-'Learned' is the correct spelling of 'learn' in the past tense.
-The possessive 'your' is meant here instead of the pronoun 'you.'",I {learnt=>learned} from {you=>your} letter that I 've won the first prize .,fce_test_215,I learnt from you letter that I 've won the first prize .,I learned from your letter that I 've won the first prize .
3471075675,finalized,1,6/22/2023 18:20:30,,,,1.0,- Putting the comma and period inside the quotations follows American English rules.,"A similar sentence with visual predicates is claimed to be , "" I can see it clearly {"" ,=>,""} or with auditory predicates , "" That sounds right to {me .=>me. ""}",wiki_test_537,"A similar sentence with visual predicates is claimed to be , "" I can see it clearly "" , or with auditory predicates , "" That sounds right to me .","A similar sentence with visual predicates is claimed to be , "" I can see it clearly ,"" or with auditory predicates , "" That sounds right to me. """
3471075677,finalized,1,6/23/2023 14:30:11,,,,1.0,"-This edit improves the word choice in order to make the sentence sound more natural.
-This edit corrects the conjugation of the verb.",Carrots have also been proven to {show improvements in=>benefit} many areas of health such as {improved=>improving} vision as well as lowering your risk of cancer by lowering cholesterol levels in the body .,wiki_test_396,Carrots have also been proven to show improvements in many areas of health such as improved vision as well as lowering your risk of cancer by lowering cholesterol levels in the body .,Carrots have also been proven to benefit many areas of health such as improving vision as well as lowering your risk of cancer by lowering cholesterol levels in the body .
3471075678,finalized,1,6/22/2023 20:48:41,,it looks like the sentence isn't finished so a period is incorrect,not_annotatable,1.0,,"American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause {=>.} ( i.e.",wiki_test_935,"American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause ( i.e.","American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause . ( i.e."
3471075679,finalized,1,6/23/2023 17:48:55,,,,1.0,- The period was moved inside the quotes to adhere to certain style guides.,"We know what you have done and your dog will be sold {=>.} "" {.=>}",fce_test_677,"We know what you have done and your dog will be sold "" .","We know what you have done and your dog will be sold . """
3471075680,finalized,1,6/22/2023 16:58:08,,,,1.0,"- Changing ""Single-Player"" to ""Single-player"" aligns with American English capitalization rules.
- ""while"" is the American English spelling.","{Single-Player=>Single-player} mode is rated by Pegi international as a 13 + game , {whilst=>while} the multiplayer mode is unrated .",wiki_dev_735,"Single-Player mode is rated by Pegi international as a 13 + game , whilst the multiplayer mode is unrated .","Single-player mode is rated by Pegi international as a 13 + game , while the multiplayer mode is unrated ."
3471075681,finalized,1,6/22/2023 13:57:39,,,,1.0,"-'Put' requires a direct object, so 'that' was inserted to make the sentence grammatical.",Why do you put {=>that} on the paper then ?,fce_dev_181,Why do you put on the paper then ?,Why do you put that on the paper then ?
3471075683,finalized,1,6/22/2023 19:59:45,,,,1.0,"- A comma was added to adhere to English grammar rules.
- ""to"" was deleted because it is not needed before the verb ""go.""","First of all {=>,} I recommend you {to=>} go on the 8 a.m. boat .",fce_test_630,First of all I recommend you to go on the 8 a.m. boat .,"First of all , I recommend you go on the 8 a.m. boat ."
3471075684,finalized,1,6/23/2023 16:57:00,,,,1.0,"- The pronoun was changed to be grammatical.
- Three spelling errors were corrected.","During the afternoon , Tim and {me=>I} spent the hours before the {concer laying on=>concert playing in} the park next to the sport hall where the concert was to be held .",fce_test_202,"During the afternoon , Tim and me spent the hours before the concer laying on the park next to the sport hall where the concert was to be held .","During the afternoon , Tim and I spent the hours before the concert playing in the park next to the sport hall where the concert was to be held ."
3471075685,finalized,1,6/23/2023 17:43:34,,,,1.0,"- A comma was added after the introductory phrase.
- The tense was changed to match the tense of the rest of the sentence.","The first thing that annoyed me {=>,} were the forty-five minutes we {were waiting=>waited} for the beginning .",fce_dev_238,The first thing that annoyed me were the forty-five minutes we were waiting for the beginning .,"The first thing that annoyed me , were the forty-five minutes we waited for the beginning ."
3471075686,finalized,1,6/23/2023 17:54:58,this word can be capitalized and not capitalized,,,1.0,"- ""Dadaist"" was de-capitalized to adhere to certain capitalization rules.","Hitler 's opinion was that abstract , {Dadaist=>dadaist} , expressionist , and modern art were decadent , an opinion that became the basis for policy .",wiki_dev_291,"Hitler 's opinion was that abstract , Dadaist , expressionist , and modern art were decadent , an opinion that became the basis for policy .","Hitler 's opinion was that abstract , dadaist , expressionist , and modern art were decadent , an opinion that became the basis for policy ."
3471075687,finalized,1,6/23/2023 16:58:41,,i think these corrections make the sentence less grammatical and harder to read.,not_annotatable,1.0,,Spamming is the abuse of electronic messaging systems {to=>} indiscriminately {send=>sending} unsolicited bulk messages .,wiki_dev_84,Spamming is the abuse of electronic messaging systems to indiscriminately send unsolicited bulk messages .,Spamming is the abuse of electronic messaging systems indiscriminately sending unsolicited bulk messages .
3471075688,finalized,1,6/23/2023 12:31:02,,,,1.0,"-'Vacuum' is spelled with two u's. 
-This edit inserts an Oxford comma.
-The singular form of the word is more typical in this context.","He is known for his zany stage show , where he has played the {vacum=>vacuum} , jumped rope with his microphone wire {=>,} and stopped songs to tell the {audiences=>audience} his thoughts on different topics .",wiki_test_178,"He is known for his zany stage show , where he has played the vacum , jumped rope with his microphone wire and stopped songs to tell the audiences his thoughts on different topics .","He is known for his zany stage show , where he has played the vacuum , jumped rope with his microphone wire , and stopped songs to tell the audience his thoughts on different topics ."
3471075689,finalized,1,6/22/2023 17:20:10,,,,1.0,"- Changing ""are people"" to ""were"" corrects the tense of the sentence.
- Removing ""from"" and adding ""represented"" complete the sentence given the first change.","First of all , you must invite artists and stars from more countries around the world , because there {are people=>were} only {from=>} six countries {=>represented} .",fce_test_458,"First of all , you must invite artists and stars from more countries around the world , because there are people only from six countries .","First of all , you must invite artists and stars from more countries around the world , because there were only six countries represented ."
3471075691,finalized,1,6/22/2023 16:15:14,,,,1.0,- A comma was added before 'but' to join two independent clauses,"It was dangerous {=>,} but I knew I had to do it .",fce_dev_664,It was dangerous but I knew I had to do it .,"It was dangerous , but I knew I had to do it ."
3471075692,finalized,1,6/22/2023 16:42:44,,,,1.0,"- Removing ""And"" follows traditional grammar rules, but it is okay to start a sentence with a conjunction depending on the audience.",{And what=>What} is the weather like ?,fce_test_750,And what is the weather like ?,What is the weather like ?
3471075693,finalized,1,6/22/2023 14:00:33,,,,1.0,"-This 'to' is ungrammatical with 'going.'
-The past participle 'called' should be used in this context instead of 'call.'","Driscoll suggests {to=>} going to Whitewood , where the events surrounding Elizabeth Selwyn actually happened , and suggests she stay at a hotel {call=>called} the Raven 's Inn .",wiki_dev_315,"Driscoll suggests to going to Whitewood , where the events surrounding Elizabeth Selwyn actually happened , and suggests she stay at a hotel call the Raven 's Inn .","Driscoll suggests going to Whitewood , where the events surrounding Elizabeth Selwyn actually happened , and suggests she stay at a hotel called the Raven 's Inn ."
3471075694,finalized,1,6/22/2023 16:00:58,,incorrect,not_annotatable,1.0,,"Thus , LPLs have a free alcohol in either {=>,} the sn-1 or sn-2 position .",wiki_test_568,"Thus , LPLs have a free alcohol in either the sn-1 or sn-2 position .","Thus , LPLs have a free alcohol in either , the sn-1 or sn-2 position ."
3471075695,finalized,1,6/22/2023 16:25:41,,A comma is not needed there.,not_annotatable,1.0,- Incorrect,"Many black Canadians today are of Caribbean Ancestry , with some of recent African origin {=>,} and smaller numbers from Latin American countries .",wiki_test_576,"Many black Canadians today are of Caribbean Ancestry , with some of recent African origin and smaller numbers from Latin American countries .","Many black Canadians today are of Caribbean Ancestry , with some of recent African origin , and smaller numbers from Latin American countries ."
3471075696,finalized,1,6/22/2023 13:52:35,,,,1.0,-'Situation' cannot be left on its own like this without either being plural or receiving an article. An alternative correction would be to insert 'a' before 'situation.',Some people will do crazy things in {situation=>situations} like this .,fce_dev_394,Some people will do crazy things in situation like this .,Some people will do crazy things in situations like this .
3471075698,finalized,1,6/22/2023 18:36:25,,,,1.0,"- ""The"" is added because ""time"" requires an article in this usage.
- ""together"" is not needed in this sentence because ""with"" is used.","Over the years Tarkovsky wrote several screenplay variants , at {=>the} time working {together=>} with Aleksandr Misharin .",wiki_test_915,"Over the years Tarkovsky wrote several screenplay variants , at time working together with Aleksandr Misharin .","Over the years Tarkovsky wrote several screenplay variants , at the time working with Aleksandr Misharin ."
3471075699,finalized,1,6/22/2023 14:08:33,,,,1.0,-This non-restrictive clause should have a comma following it.,"According to Statistisk sentralbyrå ( SSB ) {=>,} there were 192 homosexual partnerships recorded in 2004 .",wiki_dev_887,According to Statistisk sentralbyrå ( SSB ) there were 192 homosexual partnerships recorded in 2004 .,"According to Statistisk sentralbyrå ( SSB ) , there were 192 homosexual partnerships recorded in 2004 ."
3471075701,finalized,1,6/23/2023 12:36:58,,,,1.0,-The comma isn't necessary here because what follows is a dependent clause.,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds {,=>} but remained alive .",wiki_dev_683,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds , but remained alive .",The first attempt at execution failed : Kemmler was electrocuted for 17 seconds but remained alive .
3471075702,finalized,1,6/23/2023 17:07:54,,,,1.0,"- ""question"" was changed to ""request"" to fix a lexical error.",Now I hope that you can understand my {question=>request} for some money back because of the trouble I had .,fce_dev_611,Now I hope that you can understand my question for some money back because of the trouble I had .,Now I hope that you can understand my request for some money back because of the trouble I had .
3471075703,finalized,1,6/23/2023 17:10:16,,,,1.0,"- The article was changed to account for ""earlier"" starting with a vowel, and ""earlier"" was moved to make the sentence more grammatical.","Tipp led by 7 points midway through the half , but Louth , after missing {a=>an earlier} penalty {earlier=>} , scored from their second and made a tight finish .",wiki_test_770,"Tipp led by 7 points midway through the half , but Louth , after missing a penalty earlier , scored from their second and made a tight finish .","Tipp led by 7 points midway through the half , but Louth , after missing an earlier penalty , scored from their second and made a tight finish ."
3471075704,finalized,1,6/22/2023 16:34:22,,,,1.0,-This edit substitutes the intended word. 'Brake' means to stop a vehicle.,Some people have raised concerns that cloud computing could {brake=>break} EU data protection rules .,wiki_dev_178,Some people have raised concerns that cloud computing could brake EU data protection rules .,Some people have raised concerns that cloud computing could break EU data protection rules .
3471075706,finalized,1,6/23/2023 17:49:11,,This is meaning changing.,not_annotatable,1.0,,They {just=>will} look funny !,fce_dev_551,They just look funny !,They will look funny !
3471075709,finalized,1,6/22/2023 17:11:53,,,,1.0,"- ""have"" was changed to ""did,"" which is the correct form for English.",I {have=>did} not expect it .,fce_dev_527,I have not expect it .,I did not expect it .
3471075710,finalized,1,6/23/2023 13:14:33,,-Bad edit,not_annotatable,1.0,-This edit changes the meaning without really benefitting the sentence.,Can I wash {any=>my} clothes there ?,fce_dev_323,Can I wash any clothes there ?,Can I wash my clothes there ?
3471075711,finalized,1,6/22/2023 16:23:21,,,,1.0,"-The comma is needed here because this is a nonrestrictive clause.
-This edit corrects the spelling of 'professor.'","In addition to his judgeship , between 1896 and 1900 {=>,} Taft also served as the first dean and a {orofessor=>professor} of Constitutional Law at the University of Cincinnati .",wiki_test_146,"In addition to his judgeship , between 1896 and 1900 Taft also served as the first dean and a orofessor of Constitutional Law at the University of Cincinnati .","In addition to his judgeship , between 1896 and 1900 , Taft also served as the first dean and a professor of Constitutional Law at the University of Cincinnati ."
