_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,comments,describe_why_this_is_not_annotatable,not_annotatable,please_explain_the_revisions_write_na_if_not_annotatable,aligned,id,original,revised
3471075661,7/11/2023 06:28:57,6661931234,7/11/2023 06:28:22,False,cf_internal,1.0,46922503,IT,Veneto,Vicenza,93.70.93.159,,,,"- ""Modern"" was made lowercase because it is not a proper noun.
- A comma was added because an As-clause requires a comma when at the beginning of a sentence.","As {Modern=>modern} technology is changing the world rapidly {=>,} I think we are all involved in the revolution it 's causing .",fce_test_11,As Modern technology is changing the world rapidly I think we are all involved in the revolution it 's causing .,"As modern technology is changing the world rapidly , I think we are all involved in the revolution it 's causing ."
3471075662,6/22/2023 16:12:02,6655877576,6/22/2023 16:09:02,False,cf_internal,1.0,46282460,US,Florida,Land O' Lakes,47.198.82.26,,,,-These optional style edits simplify the structure of the sentence.,That {made=>disappointed} me so {disappointed=>much} .,fce_dev_570,That made me so disappointed .,That disappointed me so much .
3471075663,6/22/2023 16:04:25,6655876165,6/22/2023 16:01:52,False,cf_internal,1.0,46282460,US,Florida,Land O' Lakes,47.198.82.26,,,,-These two edits clarify the meaning of the sentence.,"Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with {=>voltages that are} too high {charging voltages=>} will generate oxygen and hydrogen gas , forming an extremely explosive mix .",wiki_dev_677,"Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with too high charging voltages will generate oxygen and hydrogen gas , forming an extremely explosive mix .","Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with voltages that are too high will generate oxygen and hydrogen gas , forming an extremely explosive mix ."
3471075664,7/11/2023 07:06:16,6661947726,7/11/2023 07:05:17,False,cf_internal,1.0,46922503,IT,Veneto,Vicenza,93.70.93.159,,Meaning changing,not_annotatable,,"I immediately {say ""=>said} yes {""=>} and {also=>so did} my friend .",fce_test_576,"I immediately say "" yes "" and also my friend .",I immediately said yes and so did my friend .
3471075665,7/11/2023 08:31:20,6661978175,7/11/2023 08:31:05,False,cf_internal,1.0,46922503,IT,Veneto,Vicenza,93.70.93.159,,,,"- ""Tons"" is the American English standard spelling.",It was almost twice as long as the modern saltwater crocodile and weighed up to 8 {tonnes=>tons} .,wiki_test_637,It was almost twice as long as the modern saltwater crocodile and weighed up to 8 tonnes .,It was almost twice as long as the modern saltwater crocodile and weighed up to 8 tons .
3471075666,6/22/2023 14:09:50,6655854814,6/22/2023 14:08:34,False,cf_internal,1.0,46282460,US,Florida,Land O' Lakes,47.198.82.26,,,,"-The spelling of 'specifying' is corrected.
-This parenthetical is set off with commas.","Later , a new law was proposed in 1998 , {specifing=>specifying} that a lawyer who was once a judge or a prosecutor must not serve as a lawyer {=>,} within two years {=>,} at criminal trials of a court of which he was a member directly before .",wiki_test_627,"Later , a new law was proposed in 1998 , specifing that a lawyer who was once a judge or a prosecutor must not serve as a lawyer within two years at criminal trials of a court of which he was a member directly before .","Later , a new law was proposed in 1998 , specifying that a lawyer who was once a judge or a prosecutor must not serve as a lawyer , within two years , at criminal trials of a court of which he was a member directly before ."
3471075667,7/11/2023 07:09:06,6661948661,7/11/2023 07:06:45,False,cf_internal,1.0,46922503,IT,Veneto,Vicenza,93.70.93.159,,,,"- ""Probably she'll"" was changed to ""She'll probably"" as it is a more common and fluent-sounding order.
- A semicolon was added because the two clauses are complete and independent. 
- If-clauses require a comma if they are at the beginning of the sentence.
- ""Enjoy"" was changed to ""join"" as it is more likely intended in this context and ""enjoy us"" is not used often.","{Probably she=>She} 'll {=>probably} come with a friend {=>;} if you want {=>,} you can {enjoy=>join} us .",fce_test_632,Probably she 'll come with a friend if you want you can enjoy us .,"She 'll probably come with a friend ; if you want , you can join us ."
3471075668,6/22/2023 16:18:56,6655878807,6/22/2023 16:16:25,False,cf_internal,1.0,46282460,US,Florida,Land O' Lakes,47.198.82.26,,,,"-'Don,' meaning to wear, is the correct word here. 'Dawn' refers to the beginning of something, especially the day.","However , it is still unclear whether he will {dawn=>don} the mask upon his return or not .",wiki_test_667,"However , it is still unclear whether he will dawn the mask upon his return or not .","However , it is still unclear whether he will don the mask upon his return or not ."
3471075669,7/11/2023 05:46:34,6661907445,7/11/2023 05:45:31,False,cf_internal,1.0,46922503,IT,Veneto,Vicenza,93.70.93.159,,,,"- The potential mistake in spelling ""refound"" was changed to ""refund"" as it is a collocate to the phrase ""give a.""",I WANT YOU TO GIVE ME A COMPLETE {REFOUND=>REFUND} .,fce_dev_655,I WANT YOU TO GIVE ME A COMPLETE REFOUND .,I WANT YOU TO GIVE ME A COMPLETE REFUND .
3471075670,6/22/2023 13:23:15,6655843013,6/22/2023 13:21:39,False,cf_internal,1.0,46282460,US,Florida,Land O' Lakes,47.198.82.26,,,,"-'The' is inserted here to make the following noun phrase, 'plays and films,' definite as opposed to indefinite, which makes more sense in the context of the sentence.",You certainly saw that {=>the} plays and films had a lot of success .,fce_test_28,You certainly saw that plays and films had a lot of success .,You certainly saw that the plays and films had a lot of success .
