id,aligned,explanations,comments,non_annotatable,why_Nann
fce_dev_570,That {made=>disappointed} me so {disappointed=>much} .,-These optional style edits simplify the structure of the sentence.,,False,
wiki_dev_677,"Because of the open cells with liquid electrolyte in most cheap car batteries , overcharging with {=>voltages that are} too high {charging voltages=>} will generate oxygen and hydrogen gas , forming an extremely explosive mix .",-These two edits clarify the meaning of the sentence.,,False,
wiki_test_627,"Later , a new law was proposed in 1998 , {specifing=>specifying} that a lawyer who was once a judge or a prosecutor must not serve as a lawyer {=>,} within two years {=>,} at criminal trials of a court of which he was a member directly before .",-The spelling of 'specifying' is corrected.,,False,
wiki_test_627,"Later , a new law was proposed in 1998 , {specifing=>specifying} that a lawyer who was once a judge or a prosecutor must not serve as a lawyer {=>,} within two years {=>,} at criminal trials of a court of which he was a member directly before .",-This parenthetical is set off with commas.,,False,
wiki_test_667,"However , it is still unclear whether he will {dawn=>don} the mask upon his return or not .","-'Don,' meaning to wear, is the correct word here. 'Dawn' refers to the beginning of something, especially the day.",,False,
fce_test_28,You certainly saw that {=>the} plays and films had a lot of success .,"-'The' is inserted here to make the following noun phrase, 'plays and films,' definite as opposed to indefinite, which makes more sense in the context of the sentence.",,False,
wiki_test_492,"Bradley has three sons : Kevin , Kyle , and Allyn {!!=>!}","-Though sometimes more exclamation points are used for stylistic effect, using only one is considered grammatical.",,False,
wiki_dev_379,"He started to shine in {=>the} 2003-04 season with Persepolis {=>,} where he was used as the defensive midfielder {=>,} and moved to Esteghlal Ahvaz {=>,} where he stayed for 4 seasons {=>,} and had excellent {season=>seasons} in 2007-08 {seasons=>,} where he played the most {minuted in the league than=>minutes of} any {other payer=>player} in the league .","- An article is needed before ""season.""",,False,
wiki_dev_379,"He started to shine in {=>the} 2003-04 season with Persepolis {=>,} where he was used as the defensive midfielder {=>,} and moved to Esteghlal Ahvaz {=>,} where he stayed for 4 seasons {=>,} and had excellent {season=>seasons} in 2007-08 {seasons=>,} where he played the most {minuted in the league than=>minutes of} any {other payer=>player} in the league .",- A comma was correctly added before a conjunction that conjoins two independent clauses.,,False,
wiki_dev_379,"He started to shine in {=>the} 2003-04 season with Persepolis {=>,} where he was used as the defensive midfielder {=>,} and moved to Esteghlal Ahvaz {=>,} where he stayed for 4 seasons {=>,} and had excellent {season=>seasons} in 2007-08 {seasons=>,} where he played the most {minuted in the league than=>minutes of} any {other payer=>player} in the league .",- Two commas were added after phrases that provides more information. ,,False,
wiki_dev_379,"He started to shine in {=>the} 2003-04 season with Persepolis {=>,} where he was used as the defensive midfielder {=>,} and moved to Esteghlal Ahvaz {=>,} where he stayed for 4 seasons {=>,} and had excellent {season=>seasons} in 2007-08 {seasons=>,} where he played the most {minuted in the league than=>minutes of} any {other payer=>player} in the league .",- Corrects a spelling error.,,False,
wiki_dev_379,"He started to shine in {=>the} 2003-04 season with Persepolis {=>,} where he was used as the defensive midfielder {=>,} and moved to Esteghlal Ahvaz {=>,} where he stayed for 4 seasons {=>,} and had excellent {season=>seasons} in 2007-08 {seasons=>,} where he played the most {minuted in the league than=>minutes of} any {other payer=>player} in the league .",- Corrects a spelling error.,,False,
fce_test_215,I {learnt=>learned} from {you=>your} letter that I 've won the first prize .,-'Learned' is the correct spelling of 'learn' in the past tense.,,False,
fce_test_215,I {learnt=>learned} from {you=>your} letter that I 've won the first prize .,-The possessive 'your' is meant here instead of the pronoun 'you.',,False,
wiki_test_537,"A similar sentence with visual predicates is claimed to be , "" I can see it clearly {"" ,=>,""} or with auditory predicates , "" That sounds right to {me .=>me. ""}",- Putting the comma and period inside the quotations follows American English rules.,,False,
wiki_test_396,Carrots have also been proven to {show improvements in=>benefit} many areas of health such as {improved=>improving} vision as well as lowering your risk of cancer by lowering cholesterol levels in the body .,-This edit improves the word choice in order to make the sentence sound more natural.,,False,
wiki_test_396,Carrots have also been proven to {show improvements in=>benefit} many areas of health such as {improved=>improving} vision as well as lowering your risk of cancer by lowering cholesterol levels in the body .,-This edit corrects the conjugation of the verb.,,False,
wiki_test_935,"American style guides , including those published by the Associated Press and the Modern Language Association , require capitalization where the colon is followed by an independent clause {=>.} ( i.e.",,,True,it looks like the sentence isn't finished so a period is incorrect
fce_test_677,"We know what you have done and your dog will be sold {=>.} "" {.=>}",- The period was moved inside the quotes to adhere to certain style guides.,,False,
