id,original,revised,aligned,in_context_id_1,in_context_original_1,in_context_revised_1,in_context_aligned_1,in_context_explanation_1,in_context_id_2,in_context_original_2,in_context_revised_2,in_context_aligned_2,in_context_explanation_2,in_context_id_3,in_context_original_3,in_context_revised_3,in_context_aligned_3,in_context_explanation_3
wiki_test_642,"In its current use , some consider it to be torture because it produces a severe gag reflex and makes the recipient believe his death is imminent , while others to not believe it is torture because it does not leave permanent or lasting physical harm .","In its current use , some consider it to be torture because it produces a severe gag reflex and makes the recipient believe his death is imminent . While others don't believe it is torture because it does not leave permanent or lasting physical harm .","In its current use , some consider it to be torture because it produces a severe gag reflex and makes the recipient believe his death is imminent {, while=>. While} others {to not=>don't} believe it is torture because it does not leave permanent or lasting physical harm .",fce_dev_31,I am very indignatged because I wasted my time and it was a horrible evening so I would like you return my money and take notes of all these problems .,"I am very indignant because I wasted my time and it was a horrible evening , so I would like you to return my money and take notes of all these problems .","I am very {indignatged=>indignant} because I wasted my time and it was a horrible evening {=>,} so I would like you {=>to} return my money and take notes of all these problems .","<explanation-1>The misspelling ""idignatged"" was changed to ""indignant.""</explanation-1>
<explanation-2>A comma was inserted before the so-clause as it is a complete and independent clause.</explanation-2>
<explanation-3>""To"" is required before the infinitive after the phrase ""I would like...""</explanation-3>",wiki_dev_742,"The music video was released on November 12 , 2009 and the song was made available for download in the iTunes Store on December 1 , 2009 .","The music video was released on November 12 , 2009 , and the song was made available for download in the iTunes Store on December 1 , 2009 .","The music video was released on November 12 , 2009 {=>,} and the song was made available for download in the iTunes Store on December 1 , 2009 .","<explanation-1>The comma was added before the conjunction ""and"" that is used to conjoin the two independent clauses.</explanation-1>",wiki_test_891,"The film is the last in the series , but was followed by an unnoficial sequel , called Raptor , about dinosaurs attacking a small town .","The film is the last in the series but was followed by an unofficial sequel , called ""Raptor ,"" about dinosaurs attacking a small town .","The film is the last in the series {,=>} but was followed by an {unnoficial=>unofficial} sequel , called {Raptor ,=>""Raptor ,""} about dinosaurs attacking a small town .","<explanation-1>The comma was removed because this is not the conjunction of two independent clauses.</explanation-1>
<explanation-2>Spelling correction.</explanation-2>
<explanation-3>The movie title was put in quotes to adhere to some style guide rules.</explanation-3>"
fce_test_350,"Paul was wandering wether this beast could be offensive when the creature said these words "" I am glad to meet you , Paul . ""","Paul was wondering whether this beast could be offensive , when the creature said these words , "" I am glad to meet you , Paul . ""","Paul was {wandering wether=>wondering whether} this beast could be offensive {=>,} when the creature said these words {=>,} "" I am glad to meet you , Paul . """,fce_dev_507,"Firstly , I would like to thank you for the programme that you provided .","First , I would like to thank you for the program that you provided .","{Firstly=>First} , I would like to thank you for the {programme=>program} that you provided .","<explanation-1>Both ""firstly"" and ""first"" work but the latter is more concise and is often used to introduce lists.</explanation-1>
<explanation-2>The British spelling was changed to the American spelling ""program.""</explanation-2>",wiki_dev_557,"The plot involves two men who shoot each other at a laundromat , a runaway teenage girl , an abandoned hogan , an aluminum trailor , and a car theft ring .","The plot involves two men who shoot each other at a laundromat , a runaway teenage girl , an abandoned hogan , an aluminum trailer , and a car theft ring .","The plot involves two men who shoot each other at a laundromat , a runaway teenage girl , an abandoned hogan , an aluminum {trailor=>trailer} , and a car theft ring .","<explanation-1>The misspelling ""trailor"" was corrected to ""trailer.""</explanation-1>",fce_test_86,If I found somenthing special to visit in three hours I call you .,If I find something special to visit in three hours . I will call you .,If I {found somenthing=>find something} special to visit in three hours {=>.} I {=>will} call you .,"<explanation-1>""Found somenthing"" was changed to ""find something"" which corrects the spelling error and matches the tense with the future in the next clause.</explanation-1>
<explanation-2>""Will"" was inserted before ""call"" as the present tense is mainly used for habitual experiences.</explanation-2>"
wiki_test_211,"If the child refuses the choice of the parents , the parents may choose another possible spouse or the child may be punished or disowned ( or in rare cases , killed , accidentally in the heat of passion or intentionally with legal authority to do so ) .","If the child refuses the choice of the parents , the parents may choose another possible spouse , or the child may be punished or disowned ( or in rare cases , killed , accidentally in the heat of passion or intentionally with legal authority to do so ) .","If the child refuses the choice of the parents , the parents may choose another possible spouse {=>,} or the child may be punished or disowned ( or in rare cases , killed , accidentally in the heat of passion or intentionally with legal authority to do so ) .",fce_test_29,So she asked me to fill her position .,"So , she asked me to fill her position .","So {=>,} she asked me to fill her position .","<explanation-1>A comma can be added after ""so"" depending on the style guide being followed.</explanation-1>",wiki_test_891,"The film is the last in the series , but was followed by an unnoficial sequel , called Raptor , about dinosaurs attacking a small town .","The film is the last in the series but was followed by an unofficial sequel , called ""Raptor ,"" about dinosaurs attacking a small town .","The film is the last in the series {,=>} but was followed by an {unnoficial=>unofficial} sequel , called {Raptor ,=>""Raptor ,""} about dinosaurs attacking a small town .","<explanation-1>The comma was removed because this is not the conjunction of two independent clauses.</explanation-1>
<explanation-2>Spelling correction.</explanation-2>
<explanation-3>The movie title was put in quotes to adhere to some style guide rules.</explanation-3>",wiki_test_488,"After some intense public debate a local harbor board was established in 1906 and a boom in architectural creativity soon followed during which many of the currently listed heritage buildings St Monicas , Central Hotel etc were constructed .","After some intense public debate , a local harbor board was established in 1906 , and a boom in architectural creativity soon followed during which many of the currently listed heritage buildings, like St. Monica's Central Hotel , etc. were constructed .","After some intense public debate {=>,} a local harbor board was established in 1906 {=>,} and a boom in architectural creativity soon followed during which many of the currently listed heritage {buildings St Monicas ,=>buildings, like St. Monica's} Central Hotel {etc=>, etc.} were constructed .","<explanation-1>This edit adds a comma after this introductory phrase.</explanation-1>
<explanation-2>This edit adds a comma because two independent clauses are being joined with coordinating conjunction.</explanation-2>
<explanation-3>This edit adds a comma and the word 'like' to make this a nonrestrictive clause expanding on what kind of buildings are included.</explanation-3>
<explanation-4>This edit adds the necessary period to the abbreviation for et cetera.</explanation-4>"
fce_test_235,"As I saw from your advertisement in the newspaper , it said ' Starring : Danny Brook and Tina Truelove ' .","As I saw from your advertisement in the newspaper , it said , "" Starring : Danny Brook and Tina Truelove . ""","As I saw from your advertisement in the newspaper , it said {'=>, ""} Starring : Danny Brook and Tina Truelove {'=>} . {=>""}",wiki_dev_683,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds , but remained alive .",The first attempt at execution failed : Kemmler was electrocuted for 17 seconds but remained alive .,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds {,=>} but remained alive .",<explanation-1>The comma isn't necessary here because what follows is a dependent clause.</explanation-1>,fce_test_466,"50 years ago , Korean mothers should have made a fire by burning woods to warm a room up and make food .","50 years ago , Korean mothers had to make a fire by burning wood to warm up a room and cook .","50 years ago , Korean mothers {should have made=>had to make} a fire by burning {woods=>wood} to warm {=>up} a room {up=>} and {make food=>cook} .","<explanation-1>""Should have made"" was changed to ""had to make"" to better express the completed nature of the action.</explanation-1>
<explanation-2>""Woods"" was made singular as ""wood"" is a collective noun.</explanation-2>
<explanation-3>""Up"" was moved before ""a room"" to improve clarity and flow.</explanation-3>
<explanation-4>""Make food"" was replaced with the more concise word ""cook.""</explanation-4>",fce_test_86,If I found somenthing special to visit in three hours I call you .,If I find something special to visit in three hours . I will call you .,If I {found somenthing=>find something} special to visit in three hours {=>.} I {=>will} call you .,"<explanation-1>""Found somenthing"" was changed to ""find something"" which corrects the spelling error and matches the tense with the future in the next clause.</explanation-1>
<explanation-2>""Will"" was inserted before ""call"" as the present tense is mainly used for habitual experiences.</explanation-2>"
wiki_dev_921,"His fascist puppet regime enacted racial laws , formed eight concentration camps and started a campaign to exterminate Croatia 's ethnic minorities ( Serbs , Romas and Jews in presice ) and remove the "" enemies of the state "" .","His fascist puppet regime enacted racial laws , formed eight concentration camps , and started a campaign to exterminate Croatia 's ethnic minorities ( Serbs , Romas , and Jews in particular ) and remove the "" enemies of the state .""","His fascist puppet regime enacted racial laws , formed eight concentration camps {=>,} and started a campaign to exterminate Croatia 's ethnic minorities ( Serbs , Romas {=>,} and Jews in {presice=>particular} ) and remove the "" enemies of the state {"" .=>.""}",wiki_test_549,"It aslo features a prominent Deaf Ministry , one of the pioneering Deaf Ministries of Australia .","It also features a prominent Deaf Ministry , one of the pioneering Deaf Ministries of Australia .","It {aslo=>also} features a prominent Deaf Ministry , one of the pioneering Deaf Ministries of Australia .","<explanation-1>The misspelling ""aslo"" was corrected to ""also.""</explanation-1>",fce_test_82,"To be honest , next great invention of people , computer , ca n't work , if you have n't got the phone .","To be honest , the next great invention , the computer , would n't work if we did n't already have the phone .","To be honest , {=>the} next great invention {of people=>} , {=>the} computer , {ca=>would} n't work {,=>} if {you=>we did n't already} have {n't got=>} the phone .","<explanation-1>The noun ""invention"" requires an article unless it is plural.</explanation-1>
<explanation-2>""Of people"" was deleted because ""invention"" implies that it was made by people-</explanation-2>
<explanation-3>""The"" was inserted as is typical when discuss the invention of something, i.e. ""the computer.""</explanation-3>
<explanation-4>""Can't work"" was changed to ""wouldn't"" as the sentence is talking about a hypothetical.</explanation-4>
<explanation-5>""You haven't got"" was changed to ""we didn't already have"" to improve clarity and fluency.</explanation-5>",wiki_test_537,"A similar sentence with visual predicates is claimed to be , "" I can see it clearly "" , or with auditory predicates , "" That sounds right to me .","A similar sentence with visual predicates is claimed to be , "" I can see it clearly ,"" or with auditory predicates , "" That sounds right to me. ""","A similar sentence with visual predicates is claimed to be , "" I can see it clearly {"" ,=>,""} or with auditory predicates , "" That sounds right to {me .=>me. ""}",<explanation-1>Putting the comma and period inside the quotations follows American English rules.</explanation-1>
fce_dev_356,"I have recorded a demo tape , which I can send to you if you will , in which I also play the guitar .","I have recorded a demo tape , which I can send to you if you wish , in which I also play the guitar .","I have recorded a demo tape , which I can send to you if you {will=>wish} , in which I also play the guitar .",fce_test_558,On top of this we intend to go to the theatre restaurant which was closed because of building activities .,"On top of this , we intended on going to the theater restaurant which was closed because of building activities .","On top of this {=>,} we {intend to go=>intended on going} to the {theatre=>theater} restaurant which was closed because of building activities .","<explanation-1>The prepositional phrase requires a comma at the beginning of the sentence.</explanation-1>
<explanation-2>The British spelling ""theatre"" was changed to the standard American spelling.</explanation-2>",wiki_dev_683,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds , but remained alive .",The first attempt at execution failed : Kemmler was electrocuted for 17 seconds but remained alive .,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds {,=>} but remained alive .",<explanation-1>The comma isn't necessary here because what follows is a dependent clause.</explanation-1>,fce_dev_507,"Firstly , I would like to thank you for the programme that you provided .","First , I would like to thank you for the program that you provided .","{Firstly=>First} , I would like to thank you for the {programme=>program} that you provided .","<explanation-1>Both ""firstly"" and ""first"" work but the latter is more concise and is often used to introduce lists.</explanation-1>
<explanation-2>The British spelling was changed to the American spelling ""program.""</explanation-2>"
fce_test_155,I 'm writing in order to complain about your current musical show which I saw last week .,"I 'm writing in order to complain about your current musical show , which I saw last week .","I 'm writing in order to complain about your current musical show {=>,} which I saw last week .",fce_test_746,The restaurant should open until the show finish .,The restaurant should be open until the show is finished .,The restaurant should {=>be} open until the show {finish=>is finished} .,"<explanation-1>This edit inserts 'be' because the restaurant will be in the state of being open for that duration.</explanation-1>
<explanation-2>'Finish' here needs to be corrected to either 'is finished' or 'finishes' to be grammatical.</explanation-2>",wiki_dev_683,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds , but remained alive .",The first attempt at execution failed : Kemmler was electrocuted for 17 seconds but remained alive .,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds {,=>} but remained alive .",<explanation-1>The comma isn't necessary here because what follows is a dependent clause.</explanation-1>,fce_dev_836,"I usually stay a tent during camping . Actually , I do n't like tent so much .","I usually stay in a tent during camping . Actually , I do n't like the tent so much .","I usually stay {=>in} a tent during camping . Actually , I do n't like {=>the} tent so much .","<explanation-1>'Stay' needs a preposition and cannot take a noun as a direct object because it is intransitive.</explanation-1>
<explanation-2>'Tent' either needs this article or to be made plural.</explanation-2>"
wiki_test_245,"The PAL versions of the console looked identical to the Japanese Super Famicom , except for labelling .","The PAL versions of the console looked identical to the Japanese Super Famicom , except for the label .","The PAL versions of the console looked identical to the Japanese Super Famicom , except for {labelling=>the label} .",wiki_test_558,"With modern overdamped , stiffly spring , suspensions this is less likely to be effective .","With modern , overdamped , stiffly sprung suspensions , this is less likely to be effective .","With modern {=>,} overdamped , stiffly {spring=>sprung suspensions} , {suspensions=>} this is less likely to be effective .","<explanation-1>A comma was added to follow grammar rules for lists in English.</explanation-1>
<explanation-2>""sprung suspensions"" corrects ""spring"" because of ""stiffly,"" and ""suspensions"" was deleted because it was replaced.</explanation-2>",wiki_dev_557,"The plot involves two men who shoot each other at a laundromat , a runaway teenage girl , an abandoned hogan , an aluminum trailor , and a car theft ring .","The plot involves two men who shoot each other at a laundromat , a runaway teenage girl , an abandoned hogan , an aluminum trailer , and a car theft ring .","The plot involves two men who shoot each other at a laundromat , a runaway teenage girl , an abandoned hogan , an aluminum {trailor=>trailer} , and a car theft ring .","<explanation-1>The misspelling ""trailor"" was corrected to ""trailer.""</explanation-1>",fce_test_202,"During the afternoon , Tim and me spent the hours before the concer laying on the park next to the sport hall where the concert was to be held .","During the afternoon , Tim and I spent the hours before the concert playing in the park next to the sport hall where the concert was to be held .","During the afternoon , Tim and {me=>I} spent the hours before the {concer laying on=>concert playing in} the park next to the sport hall where the concert was to be held .","<explanation-1>The pronoun was changed to be grammatical.</explanation-1>
<explanation-2>Three spelling errors were corrected.</explanation-2>"
wiki_dev_533,"Sesshomaru , recognized the scent of her blood and found her body .",Sesshomaru recognized the scent of her blood and found her body .,"Sesshomaru {,=>} recognized the scent of her blood and found her body .",wiki_dev_588,Version 1.02 was released On 5 December 2008 .,"Version 1.02 was released on December 5 , 2008 .","Version 1.02 was released {On=>on December} 5 {December=>,} 2008 .","<explanation-1>'On' should be lowercase here.</explanation-1>
<explanation-2>This revision changes the date format to follow the standard in American English.</explanation-2>",fce_dev_780,"Secondly , I would like to tell more about end-of-conference party .","Secondly , I would like to tell you more about the end-of-conference party .","Secondly , I would like to tell {=>you} more about {=>the} end-of-conference party .","<explanation-1>""you"" is added because ""tell"" requires a direct object.</explanation-1>
<explanation-2>""the"" was added because an article is needed in this noun phrase.</explanation-2>",wiki_dev_438,"The centre basically provides training in the hospitality sector to women who might not have that opportunity , plus her end-of-the-day product is graciously given to a local YWCA women 's shelter or Out of the Cold Program .",The center basically provides training in the hospitality sector to women who might not have that opportunity ; plus her end-of-the-day product is graciously given to a local YWCA women 's shelter or Out of the Cold Program .,"The {centre=>center} basically provides training in the hospitality sector to women who might not have that opportunity {,=>;} plus her end-of-the-day product is graciously given to a local YWCA women 's shelter or Out of the Cold Program .","<explanation-1>'Centre' was rewritten as 'center' to use the American English spelling.</explanation-1>
<explanation-2>The comma was replaced with a semicolon because the two joined clauses are  independent clauses and there is no coordinating conjunction.</explanation-2>"
wiki_dev_517,"In 2011 , paedophile allegations against Roy Lyons dating back to the 1960s were revealed by Derryn Hinch .","In 2011 , allegations of pedophilia against Roy Lyons dating back to the 1960s were revealed by Derryn Hinch .","In 2011 , {paedophile=>} allegations {=>of pedophilia} against Roy Lyons dating back to the 1960s were revealed by Derryn Hinch .",fce_test_632,Probably she 'll come with a friend if you want you can enjoy us .,"She 'll probably come with a friend ; if you want , you can join us .","{Probably she=>She} 'll {=>probably} come with a friend {=>;} if you want {=>,} you can {enjoy=>join} us .","<explanation-1>""Probably she'll"" was changed to ""She'll probably"" as it is a more common and fluent-sounding order.</explanation-1>
<explanation-2>A semicolon was added because the two clauses are complete and independent.</explanation-2>
<explanation-3>If-clauses require a comma if they are at the beginning of the sentence.</explanation-3>
<explanation-4>""Enjoy"" was changed to ""join"" as it is more likely intended in this context and ""enjoy us"" is not used often.</explanation-4>",fce_dev_857,"I felt in love with a beautiful girl "" Calen "" , she is from Spain and was selling "" hot dogs "" .",I fell in love with a beautiful girl named Calen . She was from Spain and was selling hot dogs .,"I {felt=>fell} in love with a beautiful girl {""=>named} Calen {"" , she is=>. She was} from Spain and was selling {""=>} hot dogs {""=>} .","<explanation-1>""Felt"" was replaced with ""fell"" as ""fell in love"" is a common set phrase.</explanation-1>
<explanation-2>The quotes were replaced with ""named"" to improve clarity and flow.</explanation-2>
<explanation-3>"", She is"" was replaced with ""She was"" to match the tense of the other verbs in the sentence and to properly split the two independent clauses.</explanation-3>
<explanation-4>The quotes were removed around ""hot dogs"" as it is a typical noun.</explanation-4>",wiki_test_558,"With modern overdamped , stiffly spring , suspensions this is less likely to be effective .","With modern , overdamped , stiffly sprung suspensions , this is less likely to be effective .","With modern {=>,} overdamped , stiffly {spring=>sprung suspensions} , {suspensions=>} this is less likely to be effective .","<explanation-1>A comma was added to follow grammar rules for lists in English.</explanation-1>
<explanation-2>""sprung suspensions"" corrects ""spring"" because of ""stiffly,"" and ""suspensions"" was deleted because it was replaced.</explanation-2>"
