_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,_answers_hidden,correctness,coverage,informativeness,overall,please_include_any_other_notes_here,skip,aligned,explanation_1,explanation_1_source,explanation_2,explanation_2_source,id
3478700571,8/19/2023 20:05:21,6675326897,8/19/2023 20:04:01,False,cf_internal,0.8728,47329474,US,New York,Brooklyn,74.71.141.13,False,-1.0,0.0,0.0,-1.0,,,"These are still only plans to convert Barrow / Walney airfield into an <mark>{International Airport=>international airport}</mark> , but already <mark>{numbers=>a number}</mark> of <mark>{aircraft=>aircrafts ,}</mark> using the airfield <mark>{has=>, have}</mark> increased with the completion of a recent upgrade <mark>{programme=>program}</mark> .","- This term should not be capitalized because it is not a proper noun.
- This wording is unnatural and is replaced by ""a number of.""
- This edit is incorrect.
- This edit is incorrect.
- This edit changes the spelling to the American English convention.",human,"- ""International airport"" is a common noun and should not be capitalized.
- ""Numbers"" was corrected to ""a number"" as it is singular.
- ""Aircraft"" was changed to ""aircrafts"" to match the plural subject.
- ""Has"" was corrected to ""have"" to match the plural subject.
- ""Programme"" was changed to ""program"" to match the American English spelling standard.",llm,wiki_test_323
3478700571,8/20/2023 14:20:34,6675360226,8/20/2023 14:16:43,False,cf_internal,0.8535,47231636,US,North Carolina,Greensboro,24.199.203.198,False,-1.0,0.0,1.0,-1.0,,,"These are still only plans to convert Barrow / Walney airfield into an <mark>{International Airport=>international airport}</mark> , but already <mark>{numbers=>a number}</mark> of <mark>{aircraft=>aircrafts ,}</mark> using the airfield <mark>{has=>, have}</mark> increased with the completion of a recent upgrade <mark>{programme=>program}</mark> .","- This term should not be capitalized because it is not a proper noun.
- This wording is unnatural and is replaced by ""a number of.""
- This edit is incorrect.
- This edit is incorrect.
- This edit changes the spelling to the American English convention.",human,"- ""International airport"" is a common noun and should not be capitalized.
- ""Numbers"" was corrected to ""a number"" as it is singular.
- ""Aircraft"" was changed to ""aircrafts"" to match the plural subject.
- ""Has"" was corrected to ""have"" to match the plural subject.
- ""Programme"" was changed to ""program"" to match the American English spelling standard.",llm,wiki_test_323
3478700572,8/19/2023 23:05:42,6675328726,8/19/2023 23:05:05,False,cf_internal,0.8728,47329474,US,New York,Brooklyn,74.71.141.13,False,1.0,0.0,0.0,1.0,,,"He is the only child <mark>{to=>}</mark> his late parents <mark>{=>,}</mark> Gordon and Helen <mark>{=>,}</mark> had together , although they already had six adult children between them .","- ""To"" is incorrect because it implies that the child belongs to the parents, whereas the intended meaning is that the parents had the child together.
- Commas were added to set off the appositive phrase ""Gordon and Helen.""",llm,"- Unnecessary word ""to"" removed.
- Commas are usually put around names in sentences like this.",human,wiki_dev_299
3478700572,8/20/2023 17:46:01,6675369613,8/20/2023 17:44:16,False,cf_internal,0.863,47229650,US,Oklahoma,Tulsa,69.232.58.212,False,1.0,0.0,-1.0,1.0,,,"He is the only child <mark>{to=>}</mark> his late parents <mark>{=>,}</mark> Gordon and Helen <mark>{=>,}</mark> had together , although they already had six adult children between them .","- ""To"" is incorrect because it implies that the child belongs to the parents, whereas the intended meaning is that the parents had the child together.
- Commas were added to set off the appositive phrase ""Gordon and Helen.""",llm,"- Unnecessary word ""to"" removed.
- Commas are usually put around names in sentences like this.",human,wiki_dev_299
3478700573,7/28/2023 23:47:50,6668286932,7/28/2023 23:47:05,False,cf_internal,0.8623,47306292,US,Oregon,Portland,67.42.150.249,False,0.0,0.0,0.0,0.0,,,"If any developer of an application that could be used by a Californian does n't display a privacy policy statement when their application is installed they are breaking California law <mark>{=>,}</mark> and could be fined $ 2,500 for every download .",- A comma was added to join two independent clauses.,llm,"- Added a comma, which is necessary before a conjunction joining two independent clauses.",human,wiki_dev_120
3478700573,7/29/2023 00:15:30,6668289029,7/29/2023 00:13:54,False,cf_internal,0.8535,47231636,US,North Carolina,Greensboro,24.199.203.198,False,0.0,0.0,1.0,0.0,,,"If any developer of an application that could be used by a Californian does n't display a privacy policy statement when their application is installed they are breaking California law <mark>{=>,}</mark> and could be fined $ 2,500 for every download .",- A comma was added to join two independent clauses.,llm,"- Added a comma, which is necessary before a conjunction joining two independent clauses.",human,wiki_dev_120
3478700575,8/18/2023 17:48:36,6675051179,8/18/2023 17:48:11,False,cf_internal,0.8728,47329474,US,New York,Brooklyn,74.71.141.13,False,0.0,0.0,-1.0,-1.0,,,"In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and <mark>{honoured=>honored}</mark> as part of the <mark>{in [=>}</mark> 100 .","- ""Honoured"" is changed to ""honored"" to match American English spelling.
- ""in ["" is removed as it is likely a typographical error and does not make sense in the context of the sentence.",llm,"- ""Honoured"" is replaced with ""honored"" to follow American English standards.
- The preposition and bracket are deleted to improve fluency and grammar.",human,wiki_test_790
3478700575,8/19/2023 01:17:09,6675090291,8/19/2023 01:16:12,False,cf_internal,0.8623,47306292,US,Oregon,Portland,67.42.150.249,False,0.0,0.0,-1.0,-1.0,Explanation 1 contains a punctuation error.,,"In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and <mark>{honoured=>honored}</mark> as part of the <mark>{in [=>}</mark> 100 .","- ""Honoured"" is changed to ""honored"" to match American English spelling.
- ""in ["" is removed as it is likely a typographical error and does not make sense in the context of the sentence.",llm,"- ""Honoured"" is replaced with ""honored"" to follow American English standards.
- The preposition and bracket are deleted to improve fluency and grammar.",human,wiki_test_790
3478700577,8/15/2023 14:45:13,6673869151,8/15/2023 14:44:01,False,cf_internal,0.8728,47329474,US,New York,Brooklyn,74.71.141.13,False,-1.0,0.0,-1.0,-1.0,,,"Consequently , I <mark>{proposed=>propose}</mark> to change the <mark>{programme=>program}</mark> as follows <mark>{;=>:}</mark> on Tuesday afternoon <mark>{, instead of shopping=>}</mark> , we could go to this show <mark>{=>,}</mark> and <mark>{we could=>}</mark> go shopping on Wednesday afternoon <mark>{,=>instead}</mark> during our free time .","- This potentially meaning-changing edit makes the verb present tense.
- This edit changes the spelling of 'program' to the American English convention.
- This edit changes the semicolon to the correct colon because what follows is an independent clause that directly expands on what the first independent clause introduces.
- This stylistic edit deletes a parenthetical that is implied by later text.
- A comma is added here because two independent clauses are being joined with a coordinating conjunction.
- This edit adds a subject and modal verb to make this clause an independent clause.
- This stylistic edit reinforces the difference between the plan options.",human,"- ""Proposed"" was changed to ""propose"" to match the present tense of the rest of the sentence.
- ""Programme"" was changed to ""program"" to use the American spelling.
- The semicolon was changed to a colon to introduce the list of changes that follow.
- ""Instead of shopping"" was removed and replaced with ""we could go to this show"" to simplify the sentence and improve clarity.
- The second ""we could"" was removed to avoid repetition and improve flow.
- ""During our free time"" was moved to the end of the sentence to match the meaning of the original sentence and to clarify that shopping would be done on Wednesday afternoon instead of during free time.",llm,fce_test_269
3478700577,8/15/2023 18:21:58,6673889201,8/15/2023 18:16:41,False,cf_internal,0.8479,47230220,US,New York,Tonawanda,76.180.156.178,False,0.0,0.0,1.0,1.0,,,"Consequently , I <mark>{proposed=>propose}</mark> to change the <mark>{programme=>program}</mark> as follows <mark>{;=>:}</mark> on Tuesday afternoon <mark>{, instead of shopping=>}</mark> , we could go to this show <mark>{=>,}</mark> and <mark>{we could=>}</mark> go shopping on Wednesday afternoon <mark>{,=>instead}</mark> during our free time .","- This potentially meaning-changing edit makes the verb present tense.
- This edit changes the spelling of 'program' to the American English convention.
- This edit changes the semicolon to the correct colon because what follows is an independent clause that directly expands on what the first independent clause introduces.
- This stylistic edit deletes a parenthetical that is implied by later text.
- A comma is added here because two independent clauses are being joined with a coordinating conjunction.
- This edit adds a subject and modal verb to make this clause an independent clause.
- This stylistic edit reinforces the difference between the plan options.",human,"- ""Proposed"" was changed to ""propose"" to match the present tense of the rest of the sentence.
- ""Programme"" was changed to ""program"" to use the American spelling.
- The semicolon was changed to a colon to introduce the list of changes that follow.
- ""Instead of shopping"" was removed and replaced with ""we could go to this show"" to simplify the sentence and improve clarity.
- The second ""we could"" was removed to avoid repetition and improve flow.
- ""During our free time"" was moved to the end of the sentence to match the meaning of the original sentence and to clarify that shopping would be done on Wednesday afternoon instead of during free time.",llm,fce_test_269
3478700577,8/16/2023 03:45:52,6674001705,8/16/2023 03:30:49,False,cf_internal,0.8238,47329098,US,Michigan,Okemos,68.37.120.241,False,-1.0,-1.0,-1.0,-1.0,,,"Consequently , I <mark>{proposed=>propose}</mark> to change the <mark>{programme=>program}</mark> as follows <mark>{;=>:}</mark> on Tuesday afternoon <mark>{, instead of shopping=>}</mark> , we could go to this show <mark>{=>,}</mark> and <mark>{we could=>}</mark> go shopping on Wednesday afternoon <mark>{,=>instead}</mark> during our free time .","- This potentially meaning-changing edit makes the verb present tense.
- This edit changes the spelling of 'program' to the American English convention.
- This edit changes the semicolon to the correct colon because what follows is an independent clause that directly expands on what the first independent clause introduces.
- This stylistic edit deletes a parenthetical that is implied by later text.
- A comma is added here because two independent clauses are being joined with a coordinating conjunction.
- This edit adds a subject and modal verb to make this clause an independent clause.
- This stylistic edit reinforces the difference between the plan options.",human,"- ""Proposed"" was changed to ""propose"" to match the present tense of the rest of the sentence.
- ""Programme"" was changed to ""program"" to use the American spelling.
- The semicolon was changed to a colon to introduce the list of changes that follow.
- ""Instead of shopping"" was removed and replaced with ""we could go to this show"" to simplify the sentence and improve clarity.
- The second ""we could"" was removed to avoid repetition and improve flow.
- ""During our free time"" was moved to the end of the sentence to match the meaning of the original sentence and to clarify that shopping would be done on Wednesday afternoon instead of during free time.",llm,fce_test_269
3478700578,8/17/2023 20:41:49,6674661234,8/17/2023 20:40:44,False,cf_internal,0.8728,47329474,US,New York,Brooklyn,74.71.141.13,False,1.0,0.0,0.0,1.0,"Explanation 1 comments on the editing notation: ""The arrow was added to indicate that nothing was added, only punctuation was removed.""",,""" To top this , "" low economic status can exacerbate all these factors , placing impoverished <mark>{'=>}</mark> children at particular risk for cognitive impairment later in life .","- The apostrophe was removed from ""impoverished"" because it was being used as an adjective, not a possessive noun.
- The arrow was added to indicate that nothing was added, only punctuation was removed.",llm,- The single quotation was removed as it is unnecessary.,human,wiki_dev_482
3478700578,8/18/2023 20:58:43,6675079237,8/18/2023 20:57:18,False,cf_internal,0.8535,47231636,US,North Carolina,Greensboro,24.199.203.198,False,0.0,0.0,-1.0,-1.0,,,""" To top this , "" low economic status can exacerbate all these factors , placing impoverished <mark>{'=>}</mark> children at particular risk for cognitive impairment later in life .","- The apostrophe was removed from ""impoverished"" because it was being used as an adjective, not a possessive noun.
- The arrow was added to indicate that nothing was added, only punctuation was removed.",llm,- The single quotation was removed as it is unnecessary.,human,wiki_dev_482
3478700578,8/19/2023 00:20:06,6675087196,8/19/2023 00:19:28,False,cf_internal,0.8623,47306292,US,Oregon,Portland,67.42.150.249,False,1.0,0.0,0.0,1.0,,,""" To top this , "" low economic status can exacerbate all these factors , placing impoverished <mark>{'=>}</mark> children at particular risk for cognitive impairment later in life .","- The apostrophe was removed from ""impoverished"" because it was being used as an adjective, not a possessive noun.
- The arrow was added to indicate that nothing was added, only punctuation was removed.",llm,- The single quotation was removed as it is unnecessary.,human,wiki_dev_482
3478700584,7/29/2023 22:05:06,6668428897,7/29/2023 22:03:45,False,cf_internal,0.8535,47231636,US,North Carolina,Greensboro,24.199.203.198,False,0.0,0.0,0.0,0.0,,,"In my view , it was extremely interesting and <mark>{satisfing=>satisfying}</mark> for me all <mark>{the=>}</mark> concert long .","- The spelling of ""satisfying"" was corrected.
- ""The"" was removed for fluency. ""All the concert long"" is not natural in American English.",human,"- ""Satisfing"" was changed to ""satisfying"" to correct the spelling error.
- ""The"" was removed to make the phrase ""all concert long"" flow more smoothly.",llm,fce_dev_309
3478700584,7/30/2023 13:01:17,6668460931,7/30/2023 13:00:40,False,cf_internal,0.8644,47232494,US,Georgia,Toccoa,67.140.206.78,False,0.0,0.0,0.0,0.0,,,"In my view , it was extremely interesting and <mark>{satisfing=>satisfying}</mark> for me all <mark>{the=>}</mark> concert long .","- The spelling of ""satisfying"" was corrected.
- ""The"" was removed for fluency. ""All the concert long"" is not natural in American English.",human,"- ""Satisfing"" was changed to ""satisfying"" to correct the spelling error.
- ""The"" was removed to make the phrase ""all concert long"" flow more smoothly.",llm,fce_dev_309
3478700588,8/12/2023 20:29:04,6673236964,8/12/2023 20:28:34,False,cf_internal,0.8728,47329474,US,New York,Brooklyn,74.71.141.13,False,0.0,0.0,-1.0,-1.0,,,"It contained hit single <mark>{=>,}</mark> "" Uzi ( Pinky Ring ) "" <mark>{=>,}</mark> and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .",- The commas are inserted because titles should be surrounded by commas following a descriptive phrase.,human,"- Commas were added to separate the hit single from the rest of the sentence, and to separate the hit single from the list of guest appearances.",llm,wiki_dev_771
3478700588,8/13/2023 03:32:57,6673249315,8/13/2023 03:30:20,False,cf_internal,0.8865,47306603,PH,Bicol,San Juan Pequeno,112.198.168.135,False,0.0,0.0,0.0,0.0,,,"It contained hit single <mark>{=>,}</mark> "" Uzi ( Pinky Ring ) "" <mark>{=>,}</mark> and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .",- The commas are inserted because titles should be surrounded by commas following a descriptive phrase.,human,"- Commas were added to separate the hit single from the rest of the sentence, and to separate the hit single from the list of guest appearances.",llm,wiki_dev_771
3478700588,8/13/2023 11:48:09,6673262734,8/13/2023 11:46:56,False,cf_internal,0.8535,47231636,US,North Carolina,Greensboro,24.199.203.198,False,0.0,0.0,0.0,0.0,,,"It contained hit single <mark>{=>,}</mark> "" Uzi ( Pinky Ring ) "" <mark>{=>,}</mark> and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .",- The commas are inserted because titles should be surrounded by commas following a descriptive phrase.,human,"- Commas were added to separate the hit single from the rest of the sentence, and to separate the hit single from the list of guest appearances.",llm,wiki_dev_771
