id,errant_original_string,errant_revised_string,errant_error_type,algorithm_n_revisions,original,revised,algorithm_aligned
wiki_test_323,International Airport,international airport,R:ORTH,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,,a,M:DET,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,numbers,number,R:NOUN:NUM,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,aircraft,aircrafts,R:NOUN:NUM,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,,",",M:PUNCT,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,has,", have",R:OTHER,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,programme,program,R:MORPH,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_dev_299,to,,U:PREP,3,"He is the only child to his late parents Gordon and Helen had together , although they already had six adult children between them .","He is the only child his late parents , Gordon and Helen , had together , although they already had six adult children between them .","He is the only child {to=>} his late parents {=>,} Gordon and Helen {=>,} had together , although they already had six adult children between them ."
wiki_dev_299,,",",M:PUNCT,3,"He is the only child to his late parents Gordon and Helen had together , although they already had six adult children between them .","He is the only child his late parents , Gordon and Helen , had together , although they already had six adult children between them .","He is the only child {to=>} his late parents {=>,} Gordon and Helen {=>,} had together , although they already had six adult children between them ."
wiki_dev_299,,",",M:PUNCT,3,"He is the only child to his late parents Gordon and Helen had together , although they already had six adult children between them .","He is the only child his late parents , Gordon and Helen , had together , although they already had six adult children between them .","He is the only child {to=>} his late parents {=>,} Gordon and Helen {=>,} had together , although they already had six adult children between them ."
wiki_dev_120,,",",M:PUNCT,1,"If any developer of an application that could be used by a Californian does n't display a privacy policy statement when their application is installed they are breaking California law and could be fined $ 2,500 for every download .","If any developer of an application that could be used by a Californian does n't display a privacy policy statement when their application is installed they are breaking California law , and could be fined $ 2,500 for every download .","If any developer of an application that could be used by a Californian does n't display a privacy policy statement when their application is installed they are breaking California law {=>,} and could be fined $ 2,500 for every download ."
wiki_test_790,honoured,honored,R:VERB,2,"In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and honoured as part of the in [ 100 .","In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and honored as part of the 100 .","In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and {honoured=>honored} as part of the {in [=>} 100 ."
wiki_test_790,in [,,U:OTHER,2,"In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and honoured as part of the in [ 100 .","In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and honored as part of the 100 .","In March 2004 , he was named by Pelé as one of the top 125 greatest living footballers and {honoured=>honored} as part of the {in [=>} 100 ."
fce_test_269,proposed,propose,R:VERB:TENSE,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,programme,program,R:MORPH,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,;,:,R:PUNCT,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,", instead of shopping",,U:OTHER,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,,",",M:PUNCT,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,we could,,U:OTHER,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
fce_test_269,",",instead,R:OTHER,7,"Consequently , I proposed to change the programme as follows ; on Tuesday afternoon , instead of shopping , we could go to this show and we could go shopping on Wednesday afternoon , during our free time .","Consequently , I propose to change the program as follows : on Tuesday afternoon , we could go to this show , and go shopping on Wednesday afternoon instead during our free time .","Consequently , I {proposed=>propose} to change the {programme=>program} as follows {;=>:} on Tuesday afternoon {, instead of shopping=>} , we could go to this show {=>,} and {we could=>} go shopping on Wednesday afternoon {,=>instead} during our free time ."
wiki_dev_482,',,U:PUNCT,1,""" To top this , "" low economic status can exacerbate all these factors , placing impoverished ' children at particular risk for cognitive impairment later in life .",""" To top this , "" low economic status can exacerbate all these factors , placing impoverished children at particular risk for cognitive impairment later in life .",""" To top this , "" low economic status can exacerbate all these factors , placing impoverished {'=>} children at particular risk for cognitive impairment later in life ."
fce_dev_309,satisfing,satisfying,R:SPELL,2,"In my view , it was extremely interesting and satisfing for me all the concert long .","In my view , it was extremely interesting and satisfying for me all concert long .","In my view , it was extremely interesting and {satisfing=>satisfying} for me all {the=>} concert long ."
fce_dev_309,the,,U:DET,2,"In my view , it was extremely interesting and satisfing for me all the concert long .","In my view , it was extremely interesting and satisfying for me all concert long .","In my view , it was extremely interesting and {satisfing=>satisfying} for me all {the=>} concert long ."
wiki_dev_771,,",",M:PUNCT,2,"It contained hit single "" Uzi ( Pinky Ring ) "" and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .","It contained hit single , "" Uzi ( Pinky Ring ) "" , and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) .","It contained hit single {=>,} "" Uzi ( Pinky Ring ) "" {=>,} and guest appearances by artists such as Public Enemy 's Flavor Flav ( cousin of THE RZA ) ."
