id,errant_original_start,errant_original_end,errant_original_string,errant_revised_start,errant_revised_end,errant_revised_string,errant_error_type,algorithm_n_revisions,original,revised,algorithm_aligned
wiki_test_323,13,15,International Airport,13,15,international airport,R:ORTH,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,18,18,,18,19,a,M:DET,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,18,19,numbers,19,20,number,R:NOUN:NUM,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,20,21,aircraft,21,22,aircrafts,R:NOUN:NUM,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,21,21,,22,23,",",M:PUNCT,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,24,25,has,26,28,", have",R:OTHER,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_test_323,33,34,programme,36,37,program,R:MORPH,5,"These are still only plans to convert Barrow / Walney airfield into an International Airport , but already numbers of aircraft using the airfield has increased with the completion of a recent upgrade programme .","These are still only plans to convert Barrow / Walney airfield into an international airport , but already a number of aircrafts , using the airfield , have increased with the completion of a recent upgrade program .","These are still only plans to convert Barrow / Walney airfield into an {International Airport=>international airport} , but already {numbers=>a number} of {aircraft=>aircrafts ,} using the airfield {has=>, have} increased with the completion of a recent upgrade {programme=>program} ."
wiki_dev_299,5,6,to,5,5,,U:PREP,3,"He is the only child to his late parents Gordon and Helen had together , although they already had six adult children between them .","He is the only child his late parents , Gordon and Helen , had together , although they already had six adult children between them .","He is the only child {to=>} his late parents {=>,} Gordon and Helen {=>,} had together , although they already had six adult children between them ."
wiki_dev_299,9,9,,8,9,",",M:PUNCT,3,"He is the only child to his late parents Gordon and Helen had together , although they already had six adult children between them .","He is the only child his late parents , Gordon and Helen , had together , although they already had six adult children between them .","He is the only child {to=>} his late parents {=>,} Gordon and Helen {=>,} had together , although they already had six adult children between them ."
wiki_dev_299,12,12,,12,13,",",M:PUNCT,3,"He is the only child to his late parents Gordon and Helen had together , although they already had six adult children between them .","He is the only child his late parents , Gordon and Helen , had together , although they already had six adult children between them .","He is the only child {to=>} his late parents {=>,} Gordon and Helen {=>,} had together , although they already had six adult children between them ."
